bucket,file,total_lines,size_bytes,peak_rss_kb,iteration,load_ms,modify_ms,save_ms,total_ms
Small (<100 lines),AAARRRCCC__richmond-walk-roulette__valhalla_docker-compose.yml.yml,45,2389,4572,29,0.130552,0.000365,0.069075,0.199992
Small (<100 lines),AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,21,380,4576,0,0.212269,0.005791,0.245608,0.463668
Small (<100 lines),AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,21,380,4576,1,0.104096,0.001243,0.148774,0.254113
Small (<100 lines),AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,21,380,4576,2,0.09869,0.001198,0.132442,0.23233
Small (<100 lines),AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,21,380,4576,3,0.118927,0.001244,0.13021,0.250381
Small (<100 lines),AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,21,380,4576,4,0.097216,0.00118,0.126814,0.22521
Small (<100 lines),AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,21,380,4576,5,0.095863,0.001182,0.12698,0.224025
Small (<100 lines),AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,21,380,4576,6,0.096353,0.001189,0.144577,0.242119
Small (<100 lines),AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,21,380,4576,7,0.096357,0.001193,0.129725,0.227275
Small (<100 lines),AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,21,380,4576,8,0.094941,0.001144,0.12529,0.221375
Small (<100 lines),AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,21,380,4576,9,0.094699,0.001126,0.126721,0.222546
Small (<100 lines),AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,21,380,4576,10,0.094646,0.001111,0.124049,0.219806
Small (<100 lines),AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,21,380,4576,11,0.094233,0.001144,0.125589,0.220966
Small (<100 lines),AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,21,380,4576,12,0.097129,0.001136,0.126956,0.225221
Small (<100 lines),AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,21,380,4576,13,0.096942,0.001164,0.127086,0.225192
Small (<100 lines),AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,21,380,4576,14,0.098273,0.001223,0.132769,0.232265
Small (<100 lines),AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,21,380,4576,15,0.099025,0.001158,0.12148,0.221663
Small (<100 lines),AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,21,380,4576,16,0.090949,0.001029,0.119448,0.211426
Small (<100 lines),AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,21,380,4576,17,0.090616,0.001078,0.11951,0.211204
Small (<100 lines),AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,21,380,4576,18,0.089906,0.001052,0.117934,0.208892
Small (<100 lines),AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,21,380,4576,19,0.090341,0.00105,0.121234,0.212625
Small (<100 lines),AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,21,380,4576,20,0.090537,0.001066,0.118489,0.210092
Small (<100 lines),AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,21,380,4576,21,0.090715,0.001086,0.118556,0.210357
Small (<100 lines),AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,21,380,4576,22,0.08998,0.001041,0.117932,0.208953
Small (<100 lines),AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,21,380,4576,23,0.08992,0.001038,0.118344,0.209302
Small (<100 lines),AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,21,380,4576,24,0.097894,0.001091,0.218198,0.317183
Small (<100 lines),AAhmed233__microservice_dxc__sonarqube_docker-compose.yml.yml,21,380,4576,25,0.087597,0.001335,0.108959,0.197891
