file,size_bytes,elapsed_s,parse_success,save_success,reparse_success,total_lines,output_lines,byte_identical,changed_lines,changed_line_ratio,line_levenshtein,normalized_edit_distance,semantic_status,stderr
xod442__vista__docker-compose.yml.yml,2174,0.0042,True,True,True,46,29,False,18,0.391304,18,0.391304,not requested,
ylmenezes__php56-docker__docker-compose.yml.yml,760,0.0046,True,True,True,36,32,False,35,0.972222,35,0.972222,not requested,
younghyen7956__image-search__docker-compose.yml.yml,1909,0.0051,True,True,True,74,68,False,8,0.108108,8,0.108108,not requested,
ysmnikhil__portfolio__strapi_docker-compose.yml.yml,1567,0.0048,True,True,True,62,56,False,11,0.177419,11,0.177419,not requested,
yswa-var__rfp-bid__main_docker-compose.yml.yml,666,0.0038,True,True,True,35,32,False,5,0.142857,5,0.142857,not requested,
yusukehigasa__Docker-RoR6-Nginx__docker-compose.yml.yml,617,0.0036,True,True,True,36,32,False,5,0.138889,5,0.138889,not requested,
yuwangi__2701__repo_webtemp_docker-compose.yml.yml,175,0.0031,True,True,True,9,9,True,0,0.0,0,0.0,not requested,
yuzh233__redis-learning__redis-master-slave_docker-compose.yml.yml,1341,0.004,True,True,True,44,41,False,42,0.954545,42,0.954545,not requested,
yxsbx__SOAT-FIAP__docker-compose.yml.yml,2631,0.0051,True,True,True,87,84,False,4,0.045977,4,0.045977,not requested,
z9wen__personal-infra-toolkit__nginx_docker-compose.yml.yml,270,0.0033,True,True,True,13,12,False,2,0.153846,2,0.153846,not requested,
zee-ham-su__alx-backend-python__messaging_app_messaging_app_docker-compose.yml.yml,441,0.0035,True,True,True,25,22,False,4,0.16,4,0.16,not requested,
zemocode__RavenBot__docker-compose.yml.yml,174,0.0031,True,True,True,7,7,False,1,0.142857,1,0.142857,not requested,
zeze-zeze__CTF__Games_2021AIS3EOF_Babyheap--_distribute_docker-compose.yml.yml,207,0.003,True,True,True,12,11,False,2,0.166667,2,0.166667,not requested,
zhilanazmi__portfolio-reactjs-v2__docker-compose.yml.yml,606,0.0033,True,True,True,16,8,False,9,0.5625,9,0.5625,not requested,
zooniverse__alice__docker-compose.yml.yml,485,0.0033,True,True,True,26,25,False,2,0.076923,2,0.076923,not requested,
zuzu59__docker-influxdb-grafana__docker-compose.yml.sav.yml,988,0.0036,True,True,True,54,24,False,33,0.611111,33,0.611111,not requested,
