experiment,tool,op,file,service,status,elapsed_s,actual_changed_lines,collateral_preserved
modification,yamlcpp-careful,image,EDDI-RobotAcademy__noodle-frontend__docker-compose.yml.yml,nginx,OK,0.0029,4,True
modification,yamlcpp-naive,image,EDDI-RobotAcademy__noodle-frontend__docker-compose.yml.yml,nginx,OK,0.0029,12,False
modification,composemorph,image,EgeOzdemirr__WebProject__docker-compose.yml.yml,mongodb,OK,0.0049,10,True
modification,yamlcpp-careful,image,EgeOzdemirr__WebProject__docker-compose.yml.yml,mongodb,OK,0.0041,20,True
modification,yamlcpp-naive,image,EgeOzdemirr__WebProject__docker-compose.yml.yml,mongodb,OK,0.0039,25,False
modification,composemorph,image,EldarTechWizard__medication-reminder__docker-compose.yml.yml,db,OK,0.0053,13,True
modification,yamlcpp-careful,image,EldarTechWizard__medication-reminder__docker-compose.yml.yml,db,OK,0.0039,15,True
modification,yamlcpp-naive,image,EldarTechWizard__medication-reminder__docker-compose.yml.yml,db,OK,0.0037,23,False
modification,composemorph,image,ElizaZadura__grafana-gpu-metrics__docker-compose.yml.yml,grafana,OK,0.0045,5,True
modification,yamlcpp-careful,image,ElizaZadura__grafana-gpu-metrics__docker-compose.yml.yml,grafana,OK,0.0033,8,True
modification,yamlcpp-naive,image,ElizaZadura__grafana-gpu-metrics__docker-compose.yml.yml,grafana,OK,0.004,16,False
modification,composemorph,image,EnigmaCurry__d.rymcg.tech__jitsi-meet_docker-compose.yaml.yml,jicofo,OK,0.015,924,True
modification,yamlcpp-careful,image,EnigmaCurry__d.rymcg.tech__jitsi-meet_docker-compose.yaml.yml,jicofo,OK,0.0092,924,True
modification,yamlcpp-naive,image,EnigmaCurry__d.rymcg.tech__jitsi-meet_docker-compose.yaml.yml,jicofo,OK,0.0088,839,False
modification,composemorph,image,EpicMorg__docker__linux_ecosystem_atlassian_fisheye_1_1.6.0.beta1_docker-compose.yml.yml,app,OK,0.0042,1,True
modification,yamlcpp-careful,image,EpicMorg__docker__linux_ecosystem_atlassian_fisheye_1_1.6.0.beta1_docker-compose.yml.yml,app,OK,0.0033,2,True
modification,yamlcpp-naive,image,EpicMorg__docker__linux_ecosystem_atlassian_fisheye_1_1.6.0.beta1_docker-compose.yml.yml,app,OK,0.0031,7,False
modification,composemorph,image,Erfan-ffa__UrlShortner-DistributedSystem-__docker-compose.yml.yml,mongo-replica-container,OK,0.0056,15,True
modification,yamlcpp-careful,image,Erfan-ffa__UrlShortner-DistributedSystem-__docker-compose.yml.yml,mongo-replica-container,OK,0.0043,25,True
