environment_long,environment_short,extension_field_count,file,line_count,parse_error,ports_long,ports_short,service_count,size_bytes,top_level_section_count,top_level_sections,volumes_long,volumes_short,yaml_nesting_depth
2,0,0,KamiALK__docker__databases_postgres_graph_docker-compose.yml.yml,42,,0,2,2,1101,3,networks;services;volumes,0,5,4
1,6,0,Karnemorkon__matrix-dendrite-setup__docker-compose.yml.yml,264,,0,10,14,6701,3,networks;services;version,0,18,4
1,0,0,L-rrrr__PapiBank__docker-compose.yml.yml,31,,0,2,2,621,2,services;volumes,0,1,5
13,31,0,LegitCamper__homelab__homeserver_docker_compose.yml.yml,1005,,0,0,44,25190,3,networks;services;volumes,0,67,9
1,0,0,LiReyes__todo-api__docker-compose.yml.yml,37,,0,1,1,764,2,services;volumes,0,1,4
2,0,0,ListerStellar__financial-tracker__docker-compose.yml.yml,28,,0,2,2,605,3,services;version;volumes,0,1,4
4,0,0,LuchnikKek__Team_Auth_sprint_2__docker-compose.yml.yml,171,,0,2,11,4240,3,services;version;volumes,0,13,5
0,1,0,Lustyn__kats__docker-compose.yml.yml,14,,0,1,2,266,2,services;volumes,0,2,4
3,0,0,MHS-20__Raft__docker-compose.yml.yml,34,,0,0,3,520,2,services;volumes,0,3,4
1,0,0,MT-TEAM-Org__batch__docker-compose.yml.yml,50,,0,1,1,1516,2,services;version,0,0,4
0,0,0,MaHryCT3__whitelist_backend__docker-compose.yml.yml,39,,0,2,3,710,1,services,0,2,5
4,4,0,MangwaleDev__searchv2__docker-compose.yml.yml,384,,0,5,13,10927,4,networks;services;version;volumes,0,10,6
0,0,0,MariaNosareva__backend-course__rabbitmq_topic-example_docker-compose.yml.yml,20,,0,1,3,361,2,services;version,0,0,4
4,0,0,Marukunai__alfresco__Alfresco_Ejercicio1_ejercicio_docker_docker-compose.yml.yml,67,,0,6,4,2252,3,services;version;volumes,0,4,4
2,0,0,Marwan051__final-project-database__docker-compose.yml.yml,47,,0,2,2,1026,3,networks;services;volumes,0,2,5
0,0,0,MatejSkultety__jappinen_demo__docker-compose.yml.yml,9,,0,1,1,121,1,services,0,1,4
1,1,0,MateuszRostek__book-store__docker-compose.yml.yml,32,,0,3,2,1022,2,services;version,0,0,4
0,1,0,MatiasJurgenson__ComfyUI-on-AMD-Linux-running-in-Podman__docker-compose.yml.yml,47,,0,1,1,1521,1,services,0,4,4
2,0,0,MdMurad-102__nestJsTemplete__docker-compose.yml.yml,41,,0,2,2,908,2,services;volumes,0,3,5
4,0,0,MenkoyS__3PROJ__docker-compose.yml.yml,90,,0,5,4,2540,2,services;volumes,0,7,5
2,0,0,Mingo07-dev__n8n_workflows__docker-compose.yml.yml,50,,0,1,2,1179,3,networks;services;volumes,0,3,5
0,1,0,Morlock52__psscript-manager__psscript-test-20250731011322_docker-compose.yml.yml,23,,0,2,2,459,2,services;version,0,0,5
0,31,0,MrTorriz__homelab__docker_compose.yml.yml,785,,0,30,43,25433,2,networks;services,0,75,9
0,0,0,N1CK99925__LoreSpring__docker-compose.yml.yml,30,,0,2,2,789,1,services,0,2,4
0,0,0,NikolaiLutsenko__Rhino.OAuth2__docker-compose.yml.yml,31,,0,0,3,584,3,networks;services;version,0,0,4
0,0,0,NullSec-SIG__YCEP2024-Challenge-Submission-Template__Samples_Orwells_Firewall_service_docker-compose.yml.yml,6,,0,1,1,86,2,services;version,0,0,4
2,1,0,NuttyShrimp__bachelor-thesis-poc__benchmark_docker-compose.yml.yml,262,,0,8,9,6028,2,services;volumes,0,15,6
2,0,0,Oliver0804__docker_phpmyadmin__docker-compose.yml.yml,28,,0,2,2,838,2,services;version,0,1,4
11,0,2,OneUptime__oneuptime__docker-compose.base.yml.yml,559,,0,2,13,24290,5,networks;services;volumes;x-common-runtime-variables;x-common-variables,0,5,5
